Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  117/116   12.664    0.108   12.667    0.109 {built-in method _imp.create_dynamic}
        1    3.553    3.553    3.955    3.955 {built-in method matplotlib.backends._macosx.show}
   624215    0.820    0.000    0.838    0.000 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:173(MassAnalytical)
    62429    0.799    0.000    1.197    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
    62426    0.490    0.000    0.568    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/ivp.py:133(find_active_events)
    62426    0.294    0.000    1.783    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
     2725    0.173    0.000    0.173    0.000 {built-in method posix.stat}
      577    0.128    0.000    0.128    0.000 {built-in method _io.open_code}
      577    0.102    0.000    0.102    0.000 {method 'read' of '_io.BufferedReader' objects}
   563849    0.097    0.000    0.097    0.000 {built-in method numpy.asarray}
   374576    0.089    0.000    0.314    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/base.py:22(fun_wrapped)
   375765    0.080    0.000    0.098    0.000 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:12(Mdot)
        1    0.080    0.080    7.868    7.868 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:182(PBHDemo)
    62432    0.075    0.000    0.134    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
    62429    0.073    0.000    0.077    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/rk.py:105(_estimate_error)
   374576    0.067    0.000    0.164    0.000 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:146(dMdt)
        1    0.066    0.066    2.498    2.498 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/ivp.py:159(solve_ivp)
   374576    0.064    0.000    0.377    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/base.py:152(fun)
      575    0.063    0.000    0.063    0.000 {built-in method marshal.loads}
        1    0.058    0.058    0.098    0.098 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backend_bases.py:2673(create_with_canvas)
     7178    0.039    0.000    0.076    0.000 /opt/anaconda3/lib/python3.12/inspect.py:882(cleandoc)
    62429    0.037    0.000    0.282    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/rk.py:108(_estimate_error_norm)
  117/101    0.036    0.000    0.975    0.010 {built-in method _imp.exec_dynamic}
   999981    0.036    0.000    0.036    0.000 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:9(f)
    62432    0.031    0.000    0.168    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/common.py:63(norm)
    62433    0.027    0.000    0.027    0.000 {method 'dot' of 'numpy.ndarray' objects}
    62426    0.026    0.000    1.809    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/base.py:175(step)
       28    0.025    0.001    0.099    0.004 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1398(_findfont_cached)
   437341    0.025    0.000    0.025    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/multiarray.py:741(dot)
       45    0.023    0.001    0.023    0.001 {method 'set_message' of 'matplotlib.backends._macosx.NavigationToolbar2' objects}
   250952    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
        1    0.020    0.020    0.037    0.037 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:150(__init__)
1413/1314    0.020    0.000    0.266    0.000 {built-in method builtins.__build_class__}
     1487    0.019    0.000    0.019    0.000 {built-in method numpy.array}
   152979    0.019    0.000    0.029    0.000 {built-in method builtins.isinstance}
   147050    0.018    0.000    0.019    0.000 {built-in method builtins.getattr}
        1    0.018    0.018    0.018    0.018 {function FigureManagerMac.destroy at 0x11d9a0b80}
   126447    0.018    0.000    0.018    0.000 {built-in method builtins.min}
    11284    0.018    0.000    0.021    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1178(score_stretch)
